code,name,name_short,name_tv,gender,function,country_code,country_full,nationality_full,nationality_code,height,weight,Disciplines_1,birth_date,Age
1532872,ALEKSANYAN Artur,ALEKSANYAN A,Artur ALEKSANYAN,Male,Athlete,ARM,Armenia,Armenia,ARM,0,0,Wrestling,21-10-1991,32
1532873,AMOYAN Malkhas,AMOYAN M,Malkhas AMOYAN,Male,Athlete,ARM,Armenia,Armenia,ARM,0,0,Wrestling,22-01-1999,25
1532874,GALSTYAN Slavik,GALSTYAN S,Slavik GALSTYAN,Male,Athlete,ARM,Armenia,Armenia,ARM,0,0,Wrestling,21-12-1996,27
1532944,HARUTYUNYAN Arsen,HARUTYUNYAN A,Arsen HARUTYUNYAN,Male,Athlete,ARM,Armenia,Armenia,ARM,0,0,Wrestling,22-11-1999,24
1532945,TEVANYAN Vazgen,TEVANYAN V,Vazgen TEVANYAN,Male,Athlete,ARM,Armenia,Armenia,ARM,0,0,Wrestling,27-10-1999,24
1532951,ARENAS Lorena,ARENAS L,Lorena ARENAS,Female,Athlete,COL,Colombia,Colombia,COL,162,0,Athletics,17-09-1993,30
1533112,McKENZIE Ashley,McKENZIE A,Ashley McKENZIE,Male,Athlete,JAM,Jamaica,Jamaica,JAM,0,0,Judo,17-07-1989,35
1533136,BASS BITTAYE Gina Mariam,BASS BITTAYE GM,Gina Mariam BASS BITTAYE,Female,Athlete,GAM,Gambia,Gambia,GAM,161,0,Athletics,03-05-1995,29
1533176,CAMARA Ebrahima,CAMARA E,Ebrahima CAMARA,Male,Athlete,GAM,Gambia,Gambia,GAM,178,0,Athletics,18-09-1996,27
1533188,RUEDA SANTOS Lizeth,RUEDA SANTOS L,Lizeth RUEDA SANTOS,Female,Athlete,MEX,Mexico,Mexico,MEX,0,0,Triathlon,07-03-1994,30
1533189,TAPIA VIDAL Rosa Maria,TAPIA VIDAL RM,Rosa Maria TAPIA VIDAL,Female,Athlete,MEX,Mexico,Mexico,MEX,0,0,Triathlon,27-08-1997,27
1533190,GRAJALES Crisanto,GRAJALES C,Crisanto GRAJALES,Male,Athlete,MEX,Mexico,Mexico,MEX,0,0,Triathlon,06-05-1987,37
1533208,MAAROUFOU Hachim,MAAROUFOU H,Hachim MAAROUFOU,Male,Athlete,COM,Comoros,Comoros,COM,183,0,Athletics,13-02-1997,27
1533209,SAADI Maesha,SAADI M,Maesha SAADI,Female,Athlete,COM,Comoros,Comoros,COM,0,0,Swimming,16-01-2007,17
1533230,DIOSDADO Nuria,DIOSDADO N,Nuria DIOSDADO,Female,Athlete,MEX,Mexico,Mexico,MEX,0,0,Artistic Swimming,22-08-1990,34
1533231,JIMENEZ Joana,JIMENEZ J,Joana JIMENEZ,Female,Athlete,MEX,Mexico,Mexico,MEX,0,0,Artistic Swimming,19-08-1993,31
1533232,SOBRINO Jessica,SOBRINO J,Jessica SOBRINO,Female,Athlete,MEX,Mexico,Mexico,MEX,0,0,Artistic Swimming,26-05-1994,30
1533234,ALFEREZ Regina,ALFEREZ R,Regina ALFEREZ,Female,Athlete,MEX,Mexico,Mexico,MEX,0,0,Artistic Swimming,01-12-1997,26
1533235,ARELLANO Fernanda,ARELLANO F,Fernanda ARELLANO,Female,Athlete,MEX,Mexico,Mexico,MEX,0,0,Artistic Swimming,28-02-2002,22
